0.Index,1.orgao,2.sigla,3.nome,4.nomeSocial,5.cpf,6.emailInstitucional,7.unidadePrimeiraPermissao,8.perfilPrimeiraPermissao
1,GOV-CR,leocadio.macambira,Leocádio Macambira,,118.229.998-98,leocadio.macambira@cariris.gov.br,GABIN,Básico
2,GOV-CR,tertuliano.gongora,Tertuliano Gongora,,124.039.082-31,tertuliano.gongora@cariris.gov.br,SEADM,Básico
3,GOV-CR,belarmina.batatinha,Belarmina Batatinha,,147.551.240-69,belarmina.batatinha@cariris.gov.br,SEADM,Colaborador (Básico sem Assinatura)
4,GOV-CR,raimundo.viriato,Raimundo Nonato Viriato,,836.508.748-06,raimundo.viriato@cariris.gov.br,ESPRE,Colaborador (Básico sem Assinatura)
5,GOV-CR,ursula.trigueirinho,Úrsula Trigueirinho,,065.697.139-81,ursula.trigueirinho@cariris.gov.br,SUINV,Básico
6,GOV-CR,inocencio.galhardo,Inocênio Galhardo,,881.174.108-42,inocencio.galhardo@cariris.gov.br,SUINV,Básico
7,GOV-CR,querubina.espinosa,Querubina Espinosa,,849.924.536-60,querubina.espinosa@cariris.gov.br,ESPRE,Básico
8,GOV-CR,dionisia.barraginha,Dionísia Barraginha,,900.079.227-44,dionisia.barraginha@cariris.gov.br,ESPRE,Básico
9,GOV-CR,jocelina.pedregulho,Jocelina Pedregulho,,852.721.021-50,jocelina.pedregulho@cariris.gov.br,GABIN,Básico
10,GOV-CR,cipriano.xavier,Cipriano Xavier de Almeida,,251.749.928-44,cipriano.xavier@cariris.gov.br,COPAR,Básico
11,GOV-CR,norberto.camarinha,Norberto Camarinha,Zildette Brazil,951.628.492-27,zildette.brazil@cariris.gov.br,SEADM,Colaborador (Básico sem Assinatura)
12,GOV-CR,virgulino.beringela,Virgulino Beringela,,321.124.828-58,virgulino.beringela@cariris.gov.br,GABIN,Básico
13,GOV-CR,hemengarda.quaresmeira,Hemengarda Quaresmeira,,336.202.881-00,hemengarda.quaresmeira@cariris.gov.br,COPAR,Colaborador (Básico sem Assinatura)
14,GOV-CR,sebastiana.fagundes,Sebastiana Fagundes,,644.042.918-33,sebastiana.fagundes@cariris.gov.br,SUGEP,Básico
15,GOV-CR,aparicio.caramuru,Aparício Caramuru,,951.190.527-97,aparicio.caramuru@cariris.gov.br,ESPRE,Básico
16,GOV-CR,eustaquio.sapopemba,Eustáquio Sapopemba,,188.649.230-12,eustaquio.sapopemba@cariris.gov.br,SEADM,Básico
17,GOV-CR,ubaldo.garrincha,Ubaldo Garrincha,,073.524.764-15,ubaldo.garrincha@cariris.gov.br,SUGEP,Colaborador (Básico sem Assinatura)
18,GOV-CR,waldemira.catunda,Waldemira Catunda,,388.632.769-86,waldemira.catunda@cariris.gov.br,ESPRE,Básico
19,GOV-CR,genoveva.montenegro,Genoveva Montenegro,,931.047.073-91,genoveva.montenegro@cariris.gov.br,SUGEP,Básico
20,GOV-CR,madalena.assombracao,Madalena Assombração,,586.632.848-88,madalena.assombracao@cariris.gov.br,SUGEP,Básico
21,GOV-CR,osvalda.anzois,Osvalda dos Anzóis,,305.651.755-99,osvalda.anzois@cariris.gov.br,SEADM,Básico
22,GOV-CR,praxedes.furquim,Praxedes Furquim,,302.612.775-29,praxedes.furquim@cariris.gov.br,SUINV,Básico
23,GOV-CR,feliciana.travassos,Feliciana Travassos,,174.402.002-76,feliciana.travassos@cariris.gov.br,SUINV,Básico
24,GOV-CR,zacarias.jatoba,Zacarias Jatobá,,750.860.800-37,zacarias.jatoba@cariris.gov.br,GABIN,Colaborador (Básico sem Assinatura)
25,GOV-CR,adroaldo.tamborete,Adroaldo Tamborete,,608.053.040-61,adroaldo.tamborete@cariris.gov.br,SEADM,Básico
